id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
10051,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011.0,Casual,Puma Men Motorsport Navy Blue Shirts
10058,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Casual,Puma Men Large logo tee Black Tshirts
10093,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011.0,Sports,Reebok Men Racehound White Sports Shoes
10067,Men,Apparel,Topwear,Tshirts,Yellow,Fall,2011.0,Casual,Puma Men punk logo tee Yellow Tshirts
10060,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Puma Men motor sport tee White Tshirts
10112,Women,Footwear,Shoes,Sports Shoes,White,Fall,2011.0,Sports,Reebok Women Premier Zigfly White Sports Shoes
10109,Women,Accessories,Watches,Watches,Steel,Winter,2016.0,Casual,Fastrack Women Denim Analogue Steel Watch
10107,Men,Accessories,Watches,Watches,Steel,Winter,2016.0,Casual,Fastrack Men Analogue Leather Steel Watches
10106,Women,Accessories,Watches,Watches,Steel,Winter,2016.0,Casual,Fastrack Women Essentials Steel Watches
10101,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2011.0,Sports,Reebok Men Island Explorer Black Sports Shoes
10108,Women,Accessories,Watches,Watches,Steel,Winter,2016.0,Casual,Fastrack Women Denim Analogue Steel Watches
10042,Women,Apparel,Topwear,Tshirts,Pink,Fall,2011.0,Sports,Nike Women Pink Polo Tshirts
10089,Women,Footwear,Shoes,Sports Shoes,Silver,Fall,2011.0,Sports,Reebok Women Raceon Silver Sports Shoes
10045,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Puma Men Heroes Party Graphic Blue Tshirts
10073,Women,Apparel,Topwear,Tshirts,Purple,Fall,2011.0,Casual,Puma Women cat line tee Purple Tshirts
10074,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Casual,Puma Men Puma runhard tee Black Tshirts
10080,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2011.0,Sports,Reebok Men Run Sheer Black Sports Shoes
10020,Men,Apparel,Bottomwear,Shorts,Black,Summer,2012.0,Sports,Nike Men Black & White Reversible Shorts
10018,Men,Apparel,Bottomwear,Shorts,Black,Fall,2012.0,Sports,Nike Men Black Three Quarter Track Pants
10027,Women,Apparel,Topwear,Tshirts,White,Fall,2011.0,Sports,Nike Women's White Tshirt
10011,Men,Apparel,Bottomwear,Track Pants,Grey Melange,Summer,2012.0,Sports,Nike Men Grey Melange Track Pants
10029,Women,Apparel,Topwear,Sweatshirts,Navy Blue,Fall,2011.0,Sports,Nike Women As Script Mas Navy Blue Sweatshirts
10016,Women,Apparel,Dress,Dresses,Pink,Summer,2011.0,Casual,Palm Tree Girl's Cr Blossom Drs Pink Dresses
10081,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011.0,Sports,Reebok Men Zigdynamic White Sports Shoes
10075,Men,Apparel,Topwear,Tshirts,Red,Fall,2011.0,Casual,Puma Men ducati heritage logo tee Red Tshirts
10072,Women,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Puma Women poster tee White Tshirts
10044,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Casual,Puma Men Ferrari Logo Black Tshirts
10043,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Casual,Puma Men ferrari Black Polo Tshirts
10088,Men,Footwear,Shoes,Sports Shoes,Silver,Fall,2011.0,Sports,Reebok Men Racehound Silver Sports Shoes
10028,Women,Apparel,Topwear,Tshirts,White,Fall,2011.0,Sports,Nike Women As Club Jerse White T-Shirts
10017,Women,Apparel,Topwear,Jackets,Blue,Fall,2011.0,Sports,Nike Women As The Windru Blue Jackets
10010,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Sports,Nike Men As Showdown F Black T-Shirts
10019,Women,Apparel,Topwear,Tshirts,White,Fall,2011.0,Sports,Nike Women As Miler Ss White T-Shirts
10026,Women,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Sports,Nike Women As Challenger Black T-Shirts
10021,Men,Apparel,Bottomwear,Shorts,White,Spring,2013.0,Sports,Nike Men As Woven Shor White Shorts
